ID Number,First Name,Last Name,Year Level,Gender,Program Code
2023-1035,Marcus Miguel,Cuaton,2,Male,BSCS
2024-0008,LeBron,Jordan,1,Female,BSCA
2022-2345,Kylie,Irving,3,Female,BSIS
2024-0001,Derrack,Roses,2,Male,BSIT
2023-1036,Skib,Bidet,2,Male,BSCS
2023-0451,Clarissa,Acero,2,Female,BAPSYCH
2021-0001,James,Smith,1,Male,BSCS
2021-0002,Olivia,Johnson,2,Female,BSCA
2021-0003,Liam,Williams,3,Male,BSIT
2021-0004,Emma,Brown,4,Female,BSIS
2021-0005,Noah,Jones,1,Male,BAPSYCH
2021-0006,Ava,Garcia,2,Female,BSN
2021-0007,William,Miller,3,Male,BSCE
2021-0008,Sophia,Davis,4,Female,BSCHEM
2021-0009,Benjamin,Rodríguez,1,Male,BSEdM
2021-0010,Mia,Martínez,2,Female,BSCS
2021-0011,Henry,Hernández,3,Male,BSCA
2021-0012,Amelia,López,4,Female,BSIT
2021-0013,Lucas,González,1,Male,BSIS
2021-0014,Isabella,Wilson,2,Female,BAPSYCH
2021-0015,Alexander,Anderson,3,Male,BSN
2021-0016,Charlotte,Thomas,4,Female,BSCE
2021-0017,Daniel,Taylor,1,Male,BSCHEM
2021-0018,Harper,Moore,2,Female,BSEdM
2021-0019,Matthew,Jackson,3,Male,BSCS
2021-0020,Evelyn,Martin,4,Female,BSCA
2022-0001,David,White,1,Male,BSIT
2022-0002,Scarlett,Hall,2,Female,BSIS
2022-0003,Elijah,Allen,3,Male,BAPSYCH
2022-0004,Grace,Young,4,Female,BSN
2022-0005,Joseph,Harris,1,Male,BSCE
2022-0006,Aria,Clark,2,Female,BSCHEM
2022-0007,Samuel,Lewis,3,Male,BSEdM
2022-0008,Penelope,Walker,4,Female,BSCS
2022-0009,Gabriel,King,1,Male,BSCA
2022-0010,Luna,Wright,2,Female,BSIT
2023-0001,Carter,Scott,3,Male,BSIS
2023-0002,Ellie,Green,4,Female,BAPSYCH
2023-0003,Julian,Adams,1,Male,BSN
2023-0004,Aurora,Baker,2,Female,BSCE
2023-0005,Levi,Nelson,3,Male,BSCHEM
2023-0006,Hazel,Carter,4,Female,BSEdM
2023-0007,Ethan,Mitchell,1,Male,BSCS
2023-0008,Violet,Perez,2,Female,BSCA
2023-0009,Hudson,Roberts,3,Male,BSIT
2023-0010,Stella,Campbell,4,Female,BSIS
2024-0001,Leo,Sanchez,1,Male,BAPSYCH
2024-0002,Mila,Morris,2,Female,BSN
2024-0003,Nathan,Rogers,3,Male,BSCE
2024-0004,Addison,Reed,4,Female,BSCHEM
2024-0005,Wyatt,Cook,1,Male,BSEdM
2024-0006,Savannah,Morgan,2,Female,BSCS
2024-0007,Isaiah,Bell,3,Male,BSCA
2024-0008,Paisley,Murphy,4,Female,BSIT
2024-0009,Ezra,Bailey,1,Male,BSIS
2024-0010,Sadie,Rivera,2,Female,BAPSYCH
2021-0041,James,Smith,1,Male,BSCS
2021-0042,Olivia,Johnson,2,Female,BSCA
2021-0043,Liam,Williams,3,Male,BSIT
2021-0044,Emma,Brown,4,Female,BSIS
2021-0045,Noah,Jones,1,Male,BAPSYCH
2021-0046,Ava,Garcia,2,Female,BSN
2021-0047,William,Miller,3,Male,BSCE
2021-0048,Sophia,Davis,4,Female,BSCHEM
2021-0049,Benjamin,Rodríguez,1,Male,BSEdM
2021-0050,Mia,Martínez,2,Female,BSCS
2021-0051,Henry,Hernández,3,Male,BSCA
2021-0052,Amelia,López,4,Female,BSIT
2021-0053,Lucas,González,1,Male,BSIS
2021-0054,Isabella,Wilson,2,Female,BAPSYCH
2021-0055,Alexander,Anderson,3,Male,BSN
2021-0056,Charlotte,Thomas,4,Female,BSCE
2021-0057,Daniel,Taylor,1,Male,BSCHEM
2021-0058,Harper,Moore,2,Female,BSEdM
2021-0059,Matthew,Jackson,3,Male,BSCS
2021-0060,Evelyn,Martin,4,Female,BSCA
2022-0041,David,White,1,Male,BSIT
2022-0042,Scarlett,Hall,2,Female,BSIS
2022-0043,Elijah,Allen,3,Male,BAPSYCH
2022-0044,Grace,Young,4,Female,BSN
2022-0045,Joseph,Harris,1,Male,BSCE
2022-0046,Aria,Clark,2,Female,BSCHEM
2022-0047,Samuel,Lewis,3,Male,BSEdM
2022-0048,Penelope,Walker,4,Female,BSCS
2022-0049,Gabriel,King,1,Male,BSCA
2022-0050,Luna,Wright,2,Female,BSIT
2023-0041,Carter,Scott,3,Male,BSIS
2023-0042,Ellie,Green,4,Female,BAPSYCH
2023-0043,Julian,Adams,1,Male,BSN
2023-0044,Aurora,Baker,2,Female,BSCE
2023-0045,Levi,Nelson,3,Male,BSCHEM
2023-0046,Hazel,Carter,4,Female,BSEdM
2023-0047,Ethan,Mitchell,1,Male,BSCS
2023-0048,Violet,Perez,2,Female,BSCA
2023-0049,Hudson,Roberts,3,Male,BSIT
2023-0050,Stella,Campbell,4,Female,BSIS
2024-0041,Leo,Sanchez,1,Male,BAPSYCH
2024-0042,Mila,Morris,2,Female,BSN
2024-0043,Nathan,Rogers,3,Male,BSCE
2024-0044,Addison,Reed,4,Female,BSCHEM
2024-0045,Wyatt,Cook,1,Male,BSEdM
2024-0046,Savannah,Morgan,2,Female,BSCS
2024-0047,Isaiah,Bell,3,Male,BSCA
2024-0048,Paisley,Murphy,4,Female,BSIT
2024-0049,Ezra,Bailey,1,Male,BSIS
2024-0050,Sadie,Rivera,2,Female,BAPSYCH
